icd_code,attention_mean,attention_std
Z951,9.809309e-05,0.0004619029
V5866,9.7489705e-05,0.0004884639
R7881,9.727551e-05,0.0008713959
2768,9.721325e-05,0.00063355156
570,9.6632364e-05,0.0008272797
I350,9.5523705e-05,0.00056953845
V1254,9.4991985e-05,0.000525804
Z955,9.481481e-05,0.00039077806
30000,9.4041156e-05,0.00055844686
Y838,9.2684335e-05,0.0004958156
E9342,9.20059e-05,0.00075978145
2761,8.939288e-05,0.00036097324
4168,8.922055e-05,0.0004706937
R0902,8.90415e-05,0.00058942905
G4700,8.885316e-05,0.0005853051
J9691,8.869711e-05,0.0007377959
49390,8.785637e-05,0.0004957742
Z853,8.752693e-05,0.0006703223
40391,8.710492e-05,0.00038917296
J45909,8.61333e-05,0.00042841435
N183,8.5585176e-05,0.0004050868
Z8546,8.5385545e-05,0.0006125253
Z9981,8.511007e-05,0.00056670594
J189,8.50976e-05,0.00038808005
V4582,8.458591e-05,0.0003624755
G40909,8.4249274e-05,0.00071880774
Y92239,8.34302e-05,0.00042888362
27800,8.25521e-05,0.00037170996
25040,8.236842e-05,0.0004538293
5853,8.1241065e-05,0.0005181784
J690,8.117169e-05,0.00038224476
E8782,8.080259e-05,0.00056476594
28521,8.031417e-05,0.00041933733
N186,7.982228e-05,0.0003659578
M1990,7.972004e-05,0.000627311
2760,7.9145335e-05,0.00042714406
E46,7.8811594e-05,0.000487269
78552,7.717719e-05,0.00037403326
27801,7.692247e-05,0.0004358274
Z7982,7.651003e-05,0.00054805906
D631,7.548142e-05,0.00035611456
E559,7.546877e-05,0.0005987272
D72829,7.540974e-05,0.0003715799
I5032,7.508816e-05,0.00037503906
4240,7.373082e-05,0.000507484
79092,7.342658e-05,0.00046806398
34982,7.264994e-05,0.00047637025
9971,7.2609946e-05,0.0005074198
60000,7.172861e-05,0.00044715795
36201,7.134169e-05,0.00040144782
Y831,7.120511e-05,0.0007134047
Z9114,7.110213e-05,0.00052730885
D638,7.046254e-05,0.0005225222
E1142,7.0281814e-05,0.00045788055
E11319,7.023345e-05,0.00047276757
5845,6.9712325e-05,0.00038441762
I21A1,6.8748166e-05,0.00035735703
N400,6.862183e-05,0.00034139096
E43,6.843302e-05,0.0004111165
I5023,6.825107e-05,0.00034963232
E1151,6.778878e-05,0.00035818008
42789,6.770516e-05,0.00037677542
E8497,6.7274515e-05,0.00037697045
E873,6.677384e-05,0.00049306714
E876,6.565887e-05,0.00035343715
I959,6.508506e-05,0.00032360273
5715,6.497589e-05,0.0004420982
E8798,6.4902895e-05,0.00039693748
42833,6.420544e-05,0.00035787988
78551,6.401381e-05,0.00058672664
42823,6.3660715e-05,0.00038059297
Z85828,6.36149e-05,0.00048965274
Z20828,6.2850886e-05,0.0003898381
H409,6.282351e-05,0.00049192196
K7460,6.182152e-05,0.00060989824
Y848,6.17496e-05,0.00034477896
2749,6.132532e-05,0.00030511754
Z86718,6.0900176e-05,0.00034205487
4111,6.0646606e-05,0.0004840519
G9340,6.021539e-05,0.00042108455
B9620,5.986218e-05,0.00039362628
I132,5.9816422e-05,0.00039205613
Z8249,5.9533857e-05,0.0003863991
5789,5.9493275e-05,0.00049732707
43491,5.8589667e-05,0.0005276179
5723,5.8422287e-05,0.00045916767
R570,5.818334e-05,0.0003567883
R197,5.805593e-05,0.00040108754
33829,5.7052628e-05,0.00039832605
71590,5.685709e-05,0.00043365327
E6601,5.6776746e-05,0.0003472443
R339,5.631395e-05,0.0002908865
Z23,5.624267e-05,0.00036901538
41400,5.6132303e-05,0.00031477207
I9581,5.559145e-05,0.00039124084
45829,5.5543514e-05,0.00033384384
E8342,5.5342716e-05,0.00040337123
D509,5.5135173e-05,0.0003265765
I340,5.456406e-05,0.00037284213
3970,5.4364697e-05,0.0005572188
K7200,5.4069078e-05,0.00037826967
E1010,5.3788826e-05,0.00042687953
J9600,5.361935e-05,0.0004977956
I5022,5.3525353e-05,0.00030671162
J90,5.306627e-05,0.0003500913
E8809,5.258226e-05,0.0005410846
R6520,5.2133902e-05,0.000483075
E860,5.194089e-05,0.0003260309
B961,5.1828836e-05,0.00047293867
78820,5.119912e-05,0.00044421994
I25110,5.046787e-05,0.0004487776
R569,5.0272738e-05,0.00041890994
I472,5.0246763e-05,0.00038588833
R000,5.0074887e-05,0.0003916572
51919,5.0053088e-05,0.00053676683
25002,4.9758954e-05,0.00033809541
I120,4.972337e-05,0.0003539596
431,4.9710838e-05,0.00047906215
T380X5A,4.970376e-05,0.000500818
43411,4.966273e-05,0.0005286663
78791,4.9554652e-05,0.00040303034
J9602,4.9440765e-05,0.00031561073
J9811,4.8984755e-05,0.00027001702
R471,4.8682945e-05,0.00034989527
I313,4.841318e-05,0.00045756047
2800,4.840689e-05,0.0004769426
I482,4.822061e-05,0.00044973448
D684,4.810073e-05,0.00031126736
I4892,4.7819653e-05,0.0003917549
N1830,4.7664016e-05,0.00045367307
G936,4.71244e-05,0.00035345208
R579,4.7115325e-05,0.00044900805
G9341,4.7095327e-05,0.00028308204
56400,4.6684665e-05,0.0003403656
25013,4.6610126e-05,0.00037253788
J441,4.6589765e-05,0.00035744632
5781,4.6563353e-05,0.00041060292
V103,4.6309357e-05,0.00035368413
V4987,4.5497894e-05,0.00036342023
